,staff,master_ai_id,activity_number,permit_no,type_action_code,owner,company_name,received_date,incomplete_date,complete_date,issue_due_date,issue_revised_date,issue_date,deny_date,withdraw_date,close_date,spud_date,status,well_api,well_name,ogrid_name,well_latitude,well_longitude,facility_name,Facility Type,cluster,facility_latitude,facility_longitude,Nox TPY,CO TPY,VOC TPY,PM10 TPY,SO2 TPY,potential_violation,binary_violation
530,Greg Tickle,36461,PRN20150001,6681,Notice of Intent ,Enduring Resources IV LLC,"WPX - W. Lybrook UT Nos. 703H, 704H, and 744H",2015-11-23 10:18:00,,,1/23/2016 0:00,1/23/2016 0:00,2015-12-22 10:08:00,,,,2016-12-14 00:00:00,Active,30-045-35808,W LYBROOK UNIT #713H,"ENDURING RESOURCES, LLC",36.237674,-107.708855,"Enduring Resources - W. Lybrook UT Nos. 703, 704, 743, 744",O&G-Production Facility,39.0,36.237636,-107.709122,16.7,24.6,87.6,,,No,0
531,Greg Tickle,36461,PRN20150001,6681,Notice of Intent ,Enduring Resources IV LLC,"WPX - W. Lybrook UT Nos. 703H, 704H, and 744H",2015-11-23 10:18:00,,,1/23/2016 0:00,1/23/2016 0:00,2015-12-22 10:08:00,,,,2016-12-09 00:00:00,Active,30-045-35728,W LYBROOK UNIT #704H,"ENDURING RESOURCES, LLC",36.237625,-107.709189,"Enduring Resources - W. Lybrook UT Nos. 703, 704, 743, 744",O&G-Production Facility,39.0,36.237636,-107.709122,16.7,24.6,87.6,,,No,0
532,Greg Tickle,36461,PRN20150001,6681,Notice of Intent ,Enduring Resources IV LLC,"WPX - W. Lybrook UT Nos. 703H, 704H, and 744H",2015-11-23 10:18:00,,,1/23/2016 0:00,1/23/2016 0:00,2015-12-22 10:08:00,,,,2016-12-06 00:00:00,Active,30-045-35727,W LYBROOK UNIT #703H,"ENDURING RESOURCES, LLC",36.237664,-107.708922,"Enduring Resources - W. Lybrook UT Nos. 703, 704, 743, 744",O&G-Production Facility,39.0,36.237636,-107.709122,16.7,24.6,87.6,,,No,0
533,Greg Tickle,36461,PRN20150001,6681,Notice of Intent ,Enduring Resources IV LLC,"WPX - W. Lybrook UT Nos. 703H, 704H, and 744H",2015-11-23 10:18:00,,,1/23/2016 0:00,1/23/2016 0:00,2015-12-22 10:08:00,,,,2016-12-08 00:00:00,Active,30-045-35730,W LYBROOK UNIT #744H,"ENDURING RESOURCES, LLC",36.237635,-107.70851,"Enduring Resources - W. Lybrook UT Nos. 703, 704, 743, 744",O&G-Production Facility,39.0,36.237636,-107.709122,16.7,24.6,87.6,,,No,0
534,Greg Tickle,36461,PRN20150001,6681,Notice of Intent ,Enduring Resources IV LLC,"WPX - W. Lybrook UT Nos. 703H, 704H, and 744H",2015-11-23 10:18:00,,,1/23/2016 0:00,1/23/2016 0:00,2015-12-22 10:08:00,,,,2016-12-07 00:00:00,Active,30-045-35729,W LYBROOK UNIT #743H,"ENDURING RESOURCES, LLC",36.237654,-107.70898799999999,"Enduring Resources - W. Lybrook UT Nos. 703, 704, 743, 744",O&G-Production Facility,39.0,36.237636,-107.709122,16.7,24.6,87.6,,,No,0
544,Greg Tickle,36537,PRN20150001,6720,Notice of Intent ,Enduring Resources IV LLC,W.Lybrook UT 705/706/745/746,2015-12-15 15:35:00,1/14/2016 13:22,,1/14/2016 0:00,1/14/2016 0:00,2016-01-14 14:27:00,,,,2017-03-16 00:00:00,Active,30-045-35748,W LYBROOK UNIT #705H,"ENDURING RESOURCES, LLC",36.237918,-107.721127,"Enduring Resources - W.Lybrook UT 705,706,745,746",O&G-Production Facility,17.0,36.23777800000001,-107.721,23.2,24.8,83.2,3.6,,No,0
545,Greg Tickle,36537,PRN20150001,6720,Notice of Intent ,Enduring Resources IV LLC,W.Lybrook UT 705/706/745/746,2015-12-15 15:35:00,1/14/2016 13:22,,1/14/2016 0:00,1/14/2016 0:00,2016-01-14 14:27:00,,,,2017-03-15 00:00:00,Active,30-045-35750,W LYBROOK UNIT #745H,"ENDURING RESOURCES, LLC",36.237888,-107.72118400000001,"Enduring Resources - W.Lybrook UT 705,706,745,746",O&G-Production Facility,17.0,36.23777800000001,-107.721,23.2,24.8,83.2,3.6,,No,0
546,Greg Tickle,36537,PRN20150001,6720,Notice of Intent ,Enduring Resources IV LLC,W.Lybrook UT 705/706/745/746,2015-12-15 15:35:00,1/14/2016 13:22,,1/14/2016 0:00,1/14/2016 0:00,2016-01-14 14:27:00,,,,2017-03-14 00:00:00,Active,30-045-35751,W LYBROOK UNIT #746H,"ENDURING RESOURCES, LLC",36.237828,-107.72129699999999,"Enduring Resources - W.Lybrook UT 705,706,745,746",O&G-Production Facility,17.0,36.23777800000001,-107.721,23.2,24.8,83.2,3.6,,No,0
559,Richard Poley,36617,PRN20160001,6739,Notice of Intent ,Enduring Resources IV LLC,WPX - W. Lybrook UT 707/708/709/747/748/749,2016-01-14 14:54:00,,,2/13/2016 0:00,2/13/2016 0:00,2016-02-09 15:06:00,,,,2016-02-17 00:00:00,Active,30-045-35739,W LYBROOK UNIT #707H,"ENDURING RESOURCES, LLC",36.236637,-107.73289199999999,Enduring Resources - W. Lybrook UT 707/708/709/747/748/749,O&G-Production Facility,15.0,36.236636,-107.732892,13.3,23.7,89.7,3.3,,No,0
560,Richard Poley,36617,PRN20160001,6739,Notice of Intent ,Enduring Resources IV LLC,WPX - W. Lybrook UT 707/708/709/747/748/749,2016-01-14 14:54:00,,,2/13/2016 0:00,2/13/2016 0:00,2016-02-09 15:06:00,,,,2016-02-18 00:00:00,Active,30-045-35741,W LYBROOK UNIT #709H,"ENDURING RESOURCES, LLC",36.23653688,-107.7338139,Enduring Resources - W. Lybrook UT 707/708/709/747/748/749,O&G-Production Facility,15.0,36.236636,-107.732892,13.3,23.7,89.7,3.3,,No,0
561,Richard Poley,36617,PRN20160001,6739,Notice of Intent ,Enduring Resources IV LLC,WPX - W. Lybrook UT 707/708/709/747/748/749,2016-01-14 14:54:00,,,2/13/2016 0:00,2/13/2016 0:00,2016-02-09 15:06:00,,,,2016-02-17 00:00:00,Active,30-045-35743,W LYBROOK UNIT #748H,"ENDURING RESOURCES, LLC",36.236546999999995,-107.733139,Enduring Resources - W. Lybrook UT 707/708/709/747/748/749,O&G-Production Facility,15.0,36.236636,-107.732892,13.3,23.7,89.7,3.3,,No,0
562,Richard Poley,36617,PRN20160001,6739,Notice of Intent ,Enduring Resources IV LLC,WPX - W. Lybrook UT 707/708/709/747/748/749,2016-01-14 14:54:00,,,2/13/2016 0:00,2/13/2016 0:00,2016-02-09 15:06:00,,,,2016-02-19 00:00:00,Active,30-045-35744,W LYBROOK UNIT #749H,"ENDURING RESOURCES, LLC",36.236501000000004,-107.733263,Enduring Resources - W. Lybrook UT 707/708/709/747/748/749,O&G-Production Facility,15.0,36.236636,-107.732892,13.3,23.7,89.7,3.3,,No,0
563,Richard Poley,36617,PRN20160001,6739,Notice of Intent ,Enduring Resources IV LLC,WPX - W. Lybrook UT 707/708/709/747/748/749,2016-01-14 14:54:00,,,2/13/2016 0:00,2/13/2016 0:00,2016-02-09 15:06:00,,,,2016-02-18 00:00:00,Active,30-045-35742,W LYBROOK UNIT #747H,"ENDURING RESOURCES, LLC",36.236614,-107.732954,Enduring Resources - W. Lybrook UT 707/708/709/747/748/749,O&G-Production Facility,15.0,36.236636,-107.732892,13.3,23.7,89.7,3.3,,No,0
564,Richard Poley,36617,PRN20160001,6739,Notice of Intent ,Enduring Resources IV LLC,WPX - W. Lybrook UT 707/708/709/747/748/749,2016-01-14 14:54:00,,,2/13/2016 0:00,2/13/2016 0:00,2016-02-09 15:06:00,,,,2016-02-19 00:00:00,Active,30-045-35740,W LYBROOK UNIT #708H,"ENDURING RESOURCES, LLC",36.236592,-107.73301599999999,Enduring Resources - W. Lybrook UT 707/708/709/747/748/749,O&G-Production Facility,15.0,36.236636,-107.732892,13.3,23.7,89.7,3.3,,No,0
583,Richard Poley,36658,PRN20160001,6779,Notice of Intent ,Enduring Resources IV LLC,"WPX - W. Lybrook UT Nos. 710,712,714,750,751,752",2016-01-25 08:28:00,,,2/24/2016 0:00,2/24/2016 0:00,2016-02-24 11:51:00,,,,2017-03-01 00:00:00,Active,30-045-35806,W LYBROOK UNIT #751H,"ENDURING RESOURCES, LLC",36.228770000000004,-107.740885,"Enduring Resources - W. Lybrook UT No710,712,714,750,751,752",O&G-Tank Battery/Bulk Fuel Storage,14.0,36.228617,-107.740811,21.0,24.5,27.2,2.9,,No,0
